backbone_labels,xy_norm_0,xy_norm_1
0.0,0.9807692,0.3898305
0.0,0.9807692,0.3898305
0.0,0.9519231,0.37288135
0.0,0.9519231,0.37288135
0.0,0.96153843,0.40677965
0.0,0.99038464,0.40677965
0.0,0.90384614,0.5423729
0.0,0.048076924,0.5423729
1.0,0.97115386,0.33898306
0.0,0.91346157,0.4915254
1.0,0.97115386,0.30508474
0.0,0.9230769,0.47457626
0.0,0.125,0.5762712
0.0,0.9423077,0.6779661
0.0,0.9423077,0.6779661
1.0,0.9807692,0.40677965
1.0,0.048076924,0.42372882
0.0,0.10576923,0.5423729
1.0,0.057692308,0.40677965
0.0,0.0,0.6440678
0.0,0.90384614,0.7118644
1.0,0.97115386,0.5423729
0.0,0.048076924,0.33898306
0.0,0.9230769,0.40677965
0.0,0.13461539,0.62711865
0.0,0.88461536,0.62711865
0.0,0.9230769,0.16949153
1.0,0.048076924,0.22033899
0.0,0.8557692,0.6779661
1.0,0.9423077,0.27118644
0.0,0.067307696,0.3220339
0.0,0.9326923,0.2881356
0.0,0.8942308,0.5423729
0.0,0.9326923,0.33898306
0.0,0.07692308,0.2542373
0.0,0.067307696,0.27118644
0.0,0.9807692,0.47457626
0.0,0.067307696,0.6779661
0.0,0.07692308,0.2542373
1.0,0.99038464,0.3220339
0.0,0.97115386,0.2881356
0.0,0.9230769,0.3220339
1.0,1.0,0.3898305
0.0,0.9807692,0.27118644
1.0,0.086538464,0.20338982
0.0,0.84615386,0.7118644
0.0,0.84615386,0.7118644
1.0,0.9807692,0.20338982
0.0,0.14423077,0.9491525
0.0,0.125,0.5084746
0.0,0.91346157,0.6440678
0.0,0.028846154,0.5254237
1.0,0.96153843,0.23728813
0.0,0.88461536,0.20338982
0.0,0.067307696,0.18644068
1.0,0.9230769,0.2881356
0.0,0.16346154,0.050847456
0.0,0.9423077,0.118644066
1.0,0.78846157,0.8135593
1.0,0.16346154,0.050847456
0.0,0.78846157,0.84745765
0.0,0.78846157,0.84745765
1.0,0.9230769,0.10169491
0.0,0.15384616,1.0
0.0,0.9326923,0.118644066
0.0,0.14423077,0.59322035
1.0,0.13461539,0.050847456
0.0,0.9230769,0.33898306
0.0,0.9519231,0.30508474
0.0,0.17307693,0.6101695
0.0,0.10576923,0.033898305
0.0,0.10576923,0.016949153
0.0,0.9230769,0.44067797
0.0,0.875,0.15254237
0.0,0.009615385,0.16949153
0.0,0.99038464,0.18644068
1.0,0.88461536,0.16949153
1.0,0.115384616,0.016949153
0.0,0.875,0.050847456
0.0,0.875,0.050847456
0.0,0.875,0.118644066
0.0,0.8557692,0.10169491
0.0,0.10576923,0.033898305
0.0,0.8557692,0.15254237
0.0,0.125,0.016949153
0.0,0.1923077,0.6779661
0.0,0.75961536,0.9322034
0.0,0.15384616,0.06779661
0.0,0.8076923,0.033898305
0.0,0.74038464,0.91525424
0.0,0.17307693,0.0
1.0,0.7307692,0.8305085
0.0,0.74038464,0.89830506
1.0,0.14423077,0.66101694
0.0,0.75961536,0.84745765
1.0,0.7692308,0.84745765
0.0,0.23076923,1.0
0.0,0.8076923,0.7627119
0.0,0.10576923,0.084745765
0.0,0.9230769,0.15254237
0.0,0.9326923,0.33898306
0.0,0.8076923,0.8305085
0.0,0.9423077,0.3220339
0.0,0.9423077,0.3220339
0.0,0.1923077,0.033898305
1.0,0.7019231,0.91525424
0.0,0.78846157,0.050847456
0.0,0.7980769,0.8305085
1.0,0.1923077,0.84745765
0.0,0.23076923,0.9491525
0.0,0.16346154,0.27118644
0.0,0.6826923,0.9322034
0.0,0.13461539,0.23728813
0.0,0.13461539,0.23728813
0.0,0.72115386,0.9830508
0.0,0.8942308,0.20338982
0.0,0.71153843,0.9322034
0.0,0.6826923,0.9830508
0.0,0.50961536,0.3898305
0.0,0.61538464,1.0
0.0,0.625,1.0
0.0,0.7307692,0.016949153
0.0,0.7307692,0.016949153
0.0,0.63461536,1.0
0.0,0.65384614,0.9661017
1.0,0.7019231,0.84745765
0.0,0.86538464,0.118644066
0.0,0.96153843,0.3898305
0.0,0.8942308,0.62711865
0.0,0.6826923,0.9491525
1.0,0.875,0.118644066
